beta1,beta2,alpha1,alpha2,lambda,p,w
7.515343886456066,7.461424682341962,0.49969911464795386,0.4999989943825088,0.5000036425542674,1.6346457095516345,0.4987745952260299
1.7311820071907618,7.562535158828111,0.058678488567712885,0.11398320348083674,0.3497236415950602,0.5471622290699143,0.3322702301554774
1.7376450466572702,1.6896822890335539,0.6484466961121982,0.07548230346960025,0.6641599571664888,0.505124181036736,0.40444432907135575
11.195486546648768,2.7736670773012206,0.4904682900587236,0.693994160783163,0.5052602944814822,0.4090667919321317,0.4493155134844065
7.946503453182124,3.7210512583919217,0.4983156540006136,0.2173198081455694,0.500051100496629,1.3075948713817378,0.4942156761950068
1.5100574966936307,12.802459318298443,0.08668300628147357,0.30787961996616764,0.445168272141817,1.1790195870014992,0.3378495648996953
7.406446128949442,1.1857156546604375,0.4999665276050613,0.6277514053439249,0.5000014951122251,1.7595728384472693,0.4998987226557319
7.42591947477835,0.9610965196146792,0.49992468578688876,0.5054247550918665,0.5000032200998156,1.601940934309842,0.4998022277136072
7.512654309525338,7.460526778294393,0.4997124136768602,0.4999963855991596,0.5000042641821949,1.6137484907507091,0.4987429695005587
6.659435655295702,4.6218416753029965,0.4774944052890191,0.8175925065546422,0.3359808457885271,0.0758951268256055,0.6416488540802515
7.958619659622268,1.5593180776314641,0.4984931601164752,0.032288228241039406,0.5003651375348512,1.240377848582272,0.4948619121547982
3.900846910177644,8.48507718422504,0.4722054838389058,0.4980941008596755,0.5238910528127462,1.175511353816654,0.35505358908191303
9.651351415284665,1.3946205717843017,0.4921560480894716,0.6848905075344613,0.5014886641760223,0.7154053620564037,0.4756615846053933
6.003259026832214,4.1062195910964325,0.5843720308723913,0.6809238652526712,0.5574444451681664,0.3510945683027764,0.5482473712440007
4.620205225028881,1.9010194468563453,0.30709126248486934,0.6581596671011216,0.5072782693844785,0.907434632939632,0.6296708661622316
1.187206014911962,5.720715906029298,0.3989627234220255,0.5571985656529609,0.512799047062174,0.5063597233966545,0.7162140829091995
1.2292254209608642,2.542113322548992,0.5921845365065944,0.04847366674896659,0.4925549561516456,0.318549664815163,0.4416513688349824
9.211329749038512,2.8824615464624976,0.492348383135168,0.6415177582398942,0.5003427487572304,0.8787689595605565,0.47383110678527296
1.7584755968261092,9.946450076339262,0.18244505338851114,0.5385306857001473,0.4804043446870883,1.2272053449904532,0.3921785935446166
5.904437900037677,6.248893212930957,0.18150547748410406,0.6560804006786558,0.5544903047596975,0.3821896901387479,0.2458844740509061
